Entity,Code,Year,population,Continent,GDP per capita,co2
Liechtenstein,LIE,2016,38000,,,3.918088112
Lithuania,LTU,2016,2890000,,24743,4.540191558
Luxembourg,LUX,2016,579000,,57006,15.67528745
Macao,MAC,2016,613000,,,3.256322612
Macedonia,MKD,2016,2081000,,12644,3.385810668
Madagascar,MDG,2016,24894000,,1381,0.155670729
Malawi,MWI,2016,17205000,,1112,0.073404541
Malaysia,MYS,2016,30685000,,23053,8.040489372
Maldives,MDV,2016,476000,,,3.032806723
Mali,MLI,2016,17965000,,1594,0.172925329
Malta,MLT,2016,436000,,29817,3.241643711
Marshall Islands,MHL,2016,58000,,,2.463724138
Martinique,MTQ,2016,377000,,,
Mauritania,MRT,2016,4164000,,3407,0.551711816
Mauritius,MUS,2016,1262000,,18918,3.443347068
Mayotte,MYT,2016,246000,,,
Mexico,MEX,2016,123333000,,16133,3.93588166
Micronesia (country),FSM,2016,110000,,,
Moldova,MDA,2016,4066000,,6068,1.204178301
Monaco,MCO,2016,38000,,,
Mongolia,MNG,2016,3056000,,12360,8.28662975
Montenegro,MNE,2016,627000,,17741,3.214035088
Montserrat,MSR,2016,5000,,,5.8624
Morocco,MAR,2016,35126000,,8039,1.737502589
Mozambique,MOZ,2016,27830000,,1113,0.27761303
Myanmar,MMR,2016,53045000,,5284,0.470465124
Namibia,NAM,2016,2358000,,9376,1.778280206
Nauru,NRU,2016,10000,,,4.7632
Nepal,NPL,2016,27263000,,2435,0.324289993
Netherlands,NLD,2016,16981000,,45600,9.79842192
New Caledonia,NCL,2016,274000,,,19.38604952
New Zealand,NZL,2016,4659000,,34295,7.353505478
Nicaragua,NIC,2016,6304000,,5045,0.874098045
Niger,NER,2016,20789000,,925,0.096661477
Nigeria,NGA,2016,185960000,,5360,0.633644401
Niue,NIU,2016,2000,,,3.664
North America (excl. USA),,2016,,,,4.990140399
North Korea,PRK,2016,25308000,,,1.085294033
Northern Mariana Islands,MNP,2016,56000,,,
Norway,NOR,2016,5251000,,82814,8.467435406
Oceania,,2016,40436000,,,11.59392013
Oman,OMN,2016,4479000,,38515,13.98977787
Pakistan,PAK,2016,203631008,,5223,0.965786859
Palau,PLW,2016,18000,,,12.41688889
Palestine,PSE,2016,4636000,,,0.69707679
Panama,PAN,2016,4037000,,21449,2.591766341
Papua New Guinea,PNG,2016,8272000,,,0.898282398
Paraguay,PRY,2016,6778000,,8786,1.055437513
Peru,PER,2016,30926000,,11776,1.821034093
Philippines,PHL,2016,103664000,,7410,1.150816879
Poland,POL,2016,37989000,,24838,8.503786983
Portugal,PRT,2016,10326000,,25346,4.878471594
Puerto Rico,PRI,2016,3283000,,35082,
Qatar,QAT,2016,2654000,,156299,38.51005261
Reunion,REU,2016,870000,,,
Romania,ROU,2016,19796000,,17782,3.828933283
Russia,RUS,2016,145275008,,23635,11.13510706
Rwanda,RWA,2016,11669000,,1758,0.089714629
Saint Barthlemy,,2016,10000,,,
Saint Helena,SHN,2016,6000,,,1.832
Saint Kitts and Nevis,KNA,2016,52000,,,4.58
Saint Lucia,LCA,2016,180000,,10233,2.300177778
Saint Martin (French part),MAF,2016,36000,,,
Saint Pierre and Miquelon,SPM,2016,6000,,,12.824
Saint Vincent and the Grenadines,VCT,2016,109000,,,2.016880734
Samoa,WSM,2016,195000,,,1.258912821
San Marino,SMR,2016,34000,,,
Sao Tome and Principe,STP,2016,203000,,3624,0.595625616
Saudi Arabia,SAU,2016,32443000,,51397,19.46642439
Senegal,SEN,2016,14994000,,2403,0.692471812
Serbia,SRB,2016,8854000,,13184,5.086475943
Seychelles,SYC,2016,96000,,26624,6.2975
Sierra Leone,SLE,2016,7329000,,1619,0.126982672
Singapore,SGP,2016,5654000,,65729,6.633304563
