Entity,Code,Year,population,Continent,GDP per capita,co2
United Arab Emirates,ARE,2016,9361000,asia,75876,21.70428302
United Kingdom,GBR,2016,66298000,europe,37334,6.030934144
United States,USA,2016,323016000,north america,53015,16.42848174
United States Virgin Islands,VIR,2016,105000,north america,,
Uruguay,URY,2016,3424000,south america,19468,1.95175158
Uzbekistan,UZB,2016,31442000,asia,10381,2.894392789
Vanuatu,VUT,2016,278000,oceania,,0.527194245
Vatican,VAT,2016,1000,europe,,
Venezuela,VEN,2016,29851000,europe,15219,5.467451822
Vietnam,VNM,2016,93640000,asia,6062,1.959536423
Wallis and Futuna,WLF,2016,12000,,,
Western Sahara,ESH,2016,539000,,,
Yemen,YEM,2016,27168000,asia,2506,0.377011339
Zambia,ZMB,2016,16363000,africa,3479,0.295657682
Zimbabwe,ZWE,2016,14030000,africa,1534,0.770308849
